question,choices,answer_idx,source
What kind of container is used to measure heat changes during a chemical reaction or physical process?,"[""hydrostatic"", ""calorimeter"", ""graduated cylinder"", ""thermal flask""]",1,sciq
Bacteria that enter the body are destroyed by which type of cells?,"[""white blood cells"", ""red blood cells"", ""kidney cells"", ""lung cells""]",0,arc_easy
A phase change happens,"[""when onions are chopped"", ""when food is digested by the stomach"", ""when water is added to a glass"", ""when flowers bloom in full""]",1,openbookqa
"At high pressures, how are the molecules of a gas crowded?","[""closer together"", ""further apart"", ""small together"", ""few together""]",0,sciq
Some types of minerals form balls called what?,"[""cancers"", ""microbes"", ""fistulas"", ""nodules""]",3,sciq
Ferrous metals can comprise items such as,"[""steel clogs"", ""gold cats"", ""bronze shoes"", ""Fe armor""]",3,openbookqa
Which type of tree is dominant in temperate forests?,"[""vines"", ""fungus"", ""shrubs"", ""deciduous""]",3,sciq
Isotopes are named for their number of ______ plus neutrons?,"[""electrons"", ""protons"", ""nuclei"", ""atoms""]",1,sciq
What do halogens require electrons to achieve?,"[""coupling"", ""formation"", ""octet"", ""fusion""]",2,sciq
Dispersal occurs only on what time scale?,"[""regular"", ""conventional"", ""developmental"", ""evolutionary""]",3,sciq
Which of the following planets is always closer to the Sun than it is to Earth?,"[""Jupiter"", ""Mercury"", ""Saturn"", ""Uranus""]",1,arc_easy
What contains most of the structures found in skin?,"[""epidermis"", ""subcutaneous layer"", ""basal layer"", ""dermis""]",3,sciq
How many limbs to birds have?,"[""four"", ""six"", ""ten"", ""five""]",0,sciq
Mosquitoes enjoy all the people at a BBQ in the summer for what reason?,"[""steak"", ""blood"", ""nice weather"", ""taking food""]",1,openbookqa
seeds may grow when,"[""ingested"", ""roasted"", ""left alone"", ""placed underground""]",3,openbookqa
Where is dna located in prokaryotic cells?,"[""ribosomes"", ""cytoskeleton"", ""cytoplasm"", ""mitochondria""]",2,sciq
"If Lisa wants to experiment with bean plants, which of these is the best example of a hypothesis?","[""Bean plants come in many types."", ""Fertilizer is good for bean plants."", ""All bean plants are related to each other."", ""Fertilizer will make bean plants grow taller.""]",3,arc_easy
"Concentration is the removal of solvent, which increases the concentration of what?","[""vapor"", ""sodium"", ""Water"", ""solute""]",3,sciq
The sugar of one nucleotide binds to what group of the next nucleotide?,"[""the alkaline"", ""the chloride"", ""the phosphate"", ""the protein""]",2,sciq
A family installs a new heating system in their home. Which is the most desirable result of the new heating system?,"[""producing more noise pollution"", ""decreasing the amount of energy used"", ""increasing the use of natural resources"", ""increasing the time it takes to heat the home""]",1,arc_easy
What best describes objects orbiting in the Kuiper Belt?,"[""metallic"", ""rocky"", ""hot"", ""icy""]",3,arc_easy
sharp beaks are a kind of adaptation for catching,"[""sticks"", ""small food beings"", ""bubbles"", ""rocks""]",1,openbookqa
The rocks that are taken from a mine are full of valuable minerals plus rock that isn't valuable. what is this rock called?,"[""garbage rock"", ""compost rock"", ""empty rock"", ""waste rock""]",3,sciq
What are the most advanced group of seedless vascular plants called?,"[""shrubs"", ""conifers"", ""ferns"", ""grasses""]",2,sciq
A river rushes and pebbles are smacked around one another until,"[""they are wet"", ""they are clear"", ""they are rough"", ""they are velvety""]",3,openbookqa
Which statement would most likely be included in a news report about an approaching hurricane?,"[""Open the windows to equalize air pressure."", ""Install snow tires and check the antifreeze in the car radiator."", ""Evacuate low-lying areas near the coast."", ""Expect wind speed to decrease for the next several hours.""]",2,arc_easy
All of the following but which would be considered renewable energy sources?,"[""Solar"", ""Wind"", ""Natural Gas"", ""Hydropower""]",2,openbookqa
"In December, someone in England probably wants to","[""Wear shorts and enjoy the warmth"", ""Wear heavy clothing when outdoors"", ""Go down to the beach in swimwear"", ""Start planting seeds in their garden""]",1,openbookqa
What is the best way for a scientist to begin an investigation on a population of deer?,"[""typing results into a computer"", ""intuition"", ""writing facts in a field notebook"", ""observing the deer in their own habitat""]",3,arc_easy
On the list of a flower's goals would be to,"[""produce carbon dioxide"", ""deroot and die"", ""produce offspring"", ""remain sterile""]",2,openbookqa
"A teacher carefully places some objects into very hot water. After one minute, which item is most likely too hot to touch?","[""a cloth napkin"", ""a metal spoon"", ""a plastic pencil"", ""a wooden stick""]",1,arc_easy
"What system gets less effective with age, that generally makes older people more disease susceptible?","[""infectious system"", ""reproductive system"", ""immune system"", ""nervous system""]",2,sciq
What's the best way humans can conserve water?,"[""boil it"", ""use more"", ""use less"", ""salt it""]",2,sciq
Materials like ethanol are used to produce electricity by _____.,"[""hydroelectric power"", ""renewable energy"", ""burning"", ""carbon fixation""]",2,openbookqa
Every object is attracted to every other object by what force?,"[""gravity"", ""magnetism"", ""pheromones"", ""weight""]",0,sciq
What is the branch of science that studies the physical world?,"[""social science"", ""botany"", ""physics"", ""Ecology""]",2,sciq
What is the mass of one mole of any given substance?,"[""atomic mass"", ""protons mass"", ""molar mass"", ""solute mass""]",2,sciq
which one of these would make a great organic manure later on?,"[""a plastic spoon and fork"", ""a white plastic chair"", ""a family of raccoons"", ""a plastic water bottle""]",2,openbookqa
During which time of day are the highest temperatures most often recorded?,"[""sunset"", ""afternoon"", ""sunrise"", ""night""]",1,arc_easy
What type of chemical reactions release energy?,"[""sulfuric reactions"", ""exothermic reactions"", ""biochemical reactions"", ""endothermic reactions""]",1,sciq
scientists make observations and cats,"[""regurgitate their cleanings"", ""never sleep"", ""fly"", ""cook spaghetti""]",0,openbookqa
What is the complementary base of adenine in DNA?,"[""cytosine"", ""thymine"", ""guanine"", ""uracil""]",1,arc_easy
Some 96% of the dry mass consists of organic compounds produced by what?,"[""erosion"", ""electrolysis"", ""photosynthesis"", ""reproduction""]",2,sciq
Sunrises in January are,"[""late"", ""green"", ""old"", ""early""]",0,openbookqa
"There are five primary tastes in humans: sweet, sour, bitter, salty, and what?","[""hot"", ""umami"", ""tangy"", ""aroma""]",1,sciq
Which two forms of energy could best be used to increase the temperature of a sheet of copper?,"[""heat and light"", ""heat and sound"", ""light and magnetism"", ""electricity and sound""]",0,arc_easy
How do amphibians reproduce?,"[""asexually"", ""biologically"", ""sexually"", ""they don't""]",2,sciq
Angiosperms are also known as what?,"[""dry plants"", ""flowering plants"", ""dead plants"", ""uncommon plants""]",1,sciq
What is the term for a test to see if a scientific explanation is right or wrong?,"[""invention"", ""hypothesis"", ""experiment"", ""generation""]",2,sciq
Descending air pressure leads to,"[""a lower chance of rain"", ""an ascending chance of showers"", ""a decreased likelihood of showers"", ""has zero effect on the weather forecast""]",1,openbookqa
Which statement identifies an energy source as renewable?,"[""Oil, because it is found underground."", ""Wind, because it is always available."", ""Water, because it is becoming scarce."", ""Coal, because it was formed from plants.""]",1,arc_easy
"Because of moving charged particles in its outer core, earth is what?","[""laser"", ""antenna"", ""magnet"", ""transmitter""]",2,sciq
What molecule can be used by the body to synthesize cholesterol ?,"[""ethylene coa"", ""acetyl coa"", ""chloride coa"", ""hydroxide coa""]",1,sciq
"What is the ratio of the uncertainty to the measured value, multiplied by one-hundred called?","[""variable uncertainty"", ""amount uncertainty"", ""percent uncertainty"", ""percent inconsistency""]",2,sciq
"The orbit of Earth is almost circular and has a period of about 365 days. Compared to the orbit of Earth, which of these objects usually have highly elliptical orbits and can have periods of over 1000 years?","[""asteroids"", ""meteorites"", ""comets"", ""moons""]",2,arc_easy
"In a desert environment, cactus wrens often build their nests in cholla cacti to avoid predators. This behavior does not hurt the cacti. Which type of relationship do cactus wrens and cholla cacti demonstrate?","[""competitive"", ""commensalism"", ""mutualism"", ""parasitism""]",1,arc_easy
What makes viral stis more dangerous than other types?,"[""they are more contagious"", ""they are incurable"", ""they are more severe"", ""they are larger""]",1,sciq
What nucleic acid stores the genetic information?,"[""Nucleus"", ""dna"", ""molecule"", ""Ribosomes""]",1,sciq
During what part of a person's development are they generally at their physical peak?,"[""early adulthood"", ""infancy"", ""senility"", ""late adulthood""]",0,sciq
"If left in the sunshine, water in an open jar will","[""evaporate."", ""condense."", ""freeze."", ""melt.""]",0,arc_easy
